 1 -1.0219  
 2.89 -0.77113  
 4.94 -0.5995  
 6.89 -0.45903  
 8.89 -0.35058  
 10.89 -0.267  
 12.89 -0.19839  
 14.89 -0.14559  
 16.89 -0.10465  
 18.89 -0.22992  
 20.89 -0.63054  
 22.89 -0.84249  
 24.89 -0.99188  
 26.89 -1.1058  
 28.89 -1.1911  
 30.89 -1.2586  
 32.94 -1.309  
 34.89 -1.3497  
 36.89 -1.3801  
 38.89 -1.103  
 40.89 -0.82264  
 42.94 -0.64145  
 44.89 -0.49534  
 46.89 -0.3813  
 48.89 -0.28961  
 50.89 -0.21599  
 52.89 -0.15952  
 54.89 -0.11492  
 56.89 -0.082582  
 58.94 -0.57264  
 60.94 -0.79657  
 62.89 -0.95649  
 64.89 -1.0778  
 66.89 -1.1707  
 68.89 -1.2445  
 70.94 -1.2968  
 72.89 -1.3383  
 74.89 -1.3731  
 76.89 -1.206  
 78.89 -0.87474  
 80.94 -0.67799  
 82.89 -0.5241  
 84.9 -0.4007  
 86.9 -0.30545  
 88.9 -0.22931  
 90.9 -0.17076  
 92.9 -0.12566  
 94.9 -0.091648  
 96.94 -0.50347  
 98.94 -0.75604  
 100.9 -0.92827  
 102.9 -1.0575  
 104.9 -1.1563  
 106.9 -1.2302  
 108.94 -1.2875  
 110.9 -1.3321  
 112.9 -1.3658  
 114.9 -1.3602  
 116.9 -0.92599  
 118.94 -0.71094  
 120.9 -0.54655  
 122.9 -0.41763  
 124.9 -0.31656  
 126.9 -0.23643  
 128.9 -0.17407  
 130.9 -0.12469  
 132.9 -0.084642  
 134.94 -0.40274  
 136.94 -0.68973  
 138.9 -0.87614  
 140.9 -1.0127  
 142.9 -1.1173  
 144.9 -1.1957  
 146.9 -1.2576  
 148.95 -1.3039  
 150.9 -1.3419  
 152.9 -1.3715  
 154.9 -0.97905  
 156.94 -0.74853  
 158.9 -0.57282  
 160.9 -0.43848  
 162.9 -0.33146  
 164.9 -0.24745  
 166.9 -0.18063  
