1.00	0.000000	90.000000
2.89	0.000000	90.000000
4.94	0.000102	24.941520
6.89	0.000279	30.100902
8.89	0.000507	34.755330
10.89	0.000767	38.904622
12.89	0.001045	42.562798
14.89	0.001330	45.738530
16.89	0.001614	48.451714
18.89	0.001892	50.862330
20.89	0.002142	53.400863
22.89	0.002331	56.450835
24.89	0.002425	59.984870
26.89	0.002401	63.681343
28.89	0.002245	67.069240
30.89	0.001957	69.354155
32.94	0.001550	68.750371
34.89	0.001076	59.868926
36.89	0.000740	26.193042
38.89	0.001000	-18.366719
40.89	0.001668	-34.545025
42.94	0.002437	-38.925867
44.89	0.003219	-39.703471
46.89	0.003984	-39.245637
48.89	0.004719	-38.389466
50.89	0.005420	-37.475076
52.89	0.006089	-36.644764
54.89	0.006730	-35.948939
56.89	0.007349	-35.392836
58.94	0.007940	-35.050104
60.94	0.008484	-35.114265
62.89	0.008983	-35.766509
64.89	0.009470	-37.083083
66.89	0.009996	-39.017357
68.89	0.010618	-41.382496
70.94	0.011384	-43.876455
72.89	0.012325	-46.161911
74.89	0.013440	-47.962789
76.89	0.014701	-49.137451
78.89	0.016053	-49.717377
80.94	0.017438	-49.850115
82.89	0.018814	-49.692215
84.90	0.020158	-49.366956
86.90	0.021459	-48.965074
88.90	0.022713	-48.547131
90.90	0.023925	-48.149397
92.90	0.025100	-47.790178
94.90	0.026244	-47.475494
96.94	0.027356	-47.228663
98.94	0.028424	-47.110223
100.90	0.029455	-47.181175
102.90	0.030479	-47.469265
104.90	0.031541	-47.964270
106.90	0.032689	-48.618442
108.94	0.033962	-49.353319
110.90	0.035388	-50.074568
112.90	0.036969	-50.690348
114.90	0.038688	-51.127200
116.90	0.040501	-51.359204
118.94	0.042350	-51.416794
120.90	0.044187	-51.348920
122.90	0.045988	-51.199182
124.90	0.047738	-51.004567
126.90	0.049436	-50.792983
128.90	0.051082	-50.583199
130.90	0.052685	-50.386055
132.90	0.054250	-50.206246
134.94	0.055777	-50.053717
136.94	0.057258	-49.955556
138.90	0.058695	-49.944533
140.90	0.060116	-50.040559
142.90	0.061562	-50.244604
